"","county_fips","pop_total","foreign_flow_3y","fb_lt_hs_share","fb_hs_share","fb_sc_share","fb_ba_share","fb_grad_share","fb_lt_hs_count","fb_hs_count","fb_sc_count","fb_ba_count","fb_grad_count","fb_low_A_count","fb_high_A_count","fb_low_B_count","fb_high_B_count","fb_low_A_lag3","fb_high_A_lag3","fb_low_B_lag3","fb_high_B_lag3","d_fb_low_skill_a_3y","d_fb_high_skill_a_3y","d_fb_low_skill_b_3y","d_fb_high_skill_b_3y","election_year","Z","Z_lowa","Z_higha","Z_lowb","Z_highb","YEAR","gop_two_party_share","gop_two_party_share_lag4","hispanic_native_share","white_share","black_share","native_lt_hs_share","native_hs_share","foreign_flow_3y_10k","d_fb_low_skill_a_3y_10k","d_fb_high_skill_a_3y_10k","d_fb_low_skill_b_3y_10k","d_fb_high_skill_b_3y_10k","fit_overall_10k","fit_low_A_10k","fit_high_A_10k","fit_low_B_10k","fit_high_B_10k"
"1",1003,174359,3301,0.00965823387378914,0.00626867554872418,0.0198670559019035,0.00833338112744395,0.00114132336157009,1684,1093,3463.99999999999,1453,198.999999999999,1684,6208.99999999999,2777,5115.99999999999,1011,3581,1188,3404,673.000000000001,2627.99999999999,1589,1711.99999999999,2008,184370.168606155,28013.7786397724,156356.389966382,34291.7980346522,150078.370571502,2008,0.759648883543896,0.772509843955082,0.0253844080317047,0.8454625227261,0.0961521917423247,0.312682454017286,0.20883923399423,0.3301,0.0673000000000001,0.262799999999999,0.1589,0.171199999999999,0.165101572847275,0.105778881286763,0.0901861417082089,0.0693989589117264,0.123139672473229
"2",1003,191102,1281,0.0158972695209888,0.00686544358510115,0.00987954076880409,0.00756140699731034,0.00123494259610051,3038,1312,1888,1445,236,3038,4881,4350,3569,2378.99999999999,4258.99999999999,3504.99999999999,3133,659.00000000001,622.000000000005,845.00000000001,436.000000000005,2012,95511.9601758469,-57057.5647788984,152569.524954745,-26936.8862167055,122448.846392552,2012,0.78180956892468,0.759648883543896,0.0262163661290829,0.842251781770991,0.0999309269395401,0.302555703237015,0.212221745455307,0.1281,0.065900000000001,0.0622000000000005,0.084500000000001,0.0436000000000005,0.198183616812935,0.00337400640985776,0.17670854258367,0.0415287612360072,0.129130674334843
"3",1003,208854,67,0.0065883344345811,0.0115535254292472,0.00996868625930076,0.0034378082296724,0.00065596062321047,1376,2413,2082,717.999999999999,137,1376,5349.99999999999,3789,2937,863,5795.99999999999,1986,4672.99999999999,513.000000000001,-445.999999999996,1803,-1735.99999999999,2016,90697.009826739,-37319.1528316525,128016.162658392,-17571.7587276959,108268.768554435,2016,0.797922072234812,0.78180956892468,0.0285510452277668,0.846519578269988,0.0957175826175223,0.289541976691852,0.214259722102521,0.0067,0.0513000000000001,-0.0445999999999996,0.1803,-0.173599999999999,0.233807288838742,0.0520377808966998,0.15954021319184,0.130693117537318,0.0836638617249865
"4",1003,230871,-6202,0.0115345799169233,0.0079914757591902,0.00613329521680939,0.00825136114973297,0.00211373450974787,2663,1845,1416,1905,488,2663,5654,4508,3809,5407,9111.99999999999,9037.00000000001,5481.99999999998,-2744,-3457.99999999999,-4529.00000000001,-1672.99999999998,2020,-150075.694853892,-149847.277217481,-228.417636410654,-223827.091802431,73751.3969485389,2020,0.77268271027173,0.797922072234812,0.0327542220547405,0.84411641132927,0.109173521143842,0.303788695851796,0.193813861420447,-0.6202,-0.2744,-0.345799999999999,-0.452900000000001,-0.167299999999998,-0.314199851171842,-0.152196795576535,-0.142868742700626,-0.283954283181385,-0.0092110499852999
"5",1003,253463,5822,0.0179316113199954,0.00830890504728501,0.0114533482204503,0.0133392250545445,0.00475020022646303,4544.99999999999,2106,2902.99999999999,3381.00000000001,1204,4544.99999999999,9594.00000000001,6651,7488.00000000001,2663,5654,4508,3809,1881.99999999999,3940,2142.99999999999,3679,2024,260424.036462374,90339.6514093612,170084.385053013,177550.01448151,82874.0219808637,2024,0.793476460259086,0.77268271027173,0.0355041958786884,0,0,0.245712391946754,0.233505482062471,0.5822,0.188199999999999,0.394,0.214299999999999,0.3679,0.53558507372643,0.260952891065948,0.271826547773808,0.44973692338136,0.100875955978764
"6",1015,113337,226,0.00490572363835288,0.00503807229766096,0.0092908758834273,0.00157053742378923,0.00361753002108755,556,571,1053,178,410,556,2212,1127,1641,624,1918,1189,1353,-67.9999999999998,294,-61.9999999999998,288,2008,223071.925096031,27847.9254161332,195223.999679898,35624.7880921895,187447.137003841,2008,0.664475576188324,0.664053277501838,0.0144260038645809,0.771777971889145,0.1988141560126,0.356882571446218,0.275099923237778,0.0226,-0.00679999999999998,0.0294,-0.00619999999999998,0.0288,0.114950103694954,0.102065667471961,0.0477828435822427,0.0602161542082783,0.112187156445044
"7",1015,117442,1364,0.0150627543808859,0.00652236848827506,0.0085063265271368,0.00796989152092097,0,1769,766,999,936,0,1769,2701,2535,1935,1421,1685,1932,1174,347.999999999997,1016,602.999999999996,761.000000000001,2012,93680.9967989757,-86960.3684379001,180641.365236876,-55940.1632522407,149621.160051216,2012,0.661250518683527,0.664475576188324,0.019294630541033,0.738143083394356,0.212768856116211,0.355222152211304,0.237283084416137,0.1364,0.0347999999999997,0.1016,0.0602999999999996,0.0761000000000001,0.115814738751722,-0.0134499040390816,0.116853169656633,0.013889196878428,0.0851928354203245
"8",1015,114956,134,0.0112651797209367,0.00713316399318,0.00545426076063885,0.00722015379797488,0.00089599498938724,1295,820,627,830,103,1295,2380,2115,1560,1001,2539.99999999999,2445.99999999999,1095,294,-159.999999999995,-330.999999999995,465,2016,103213.996478873,-62764.193021767,165978.18950064,-44356.435659411,147570.432138284,2016,0.712798490467825,0.661250518683527,0.0177024252757577,0.734324437175963,0.220423466369741,0.333849472841783,0.245285152580118,0.0134,0.0294,-0.0159999999999995,-0.0330999999999995,0.0465,0.162842870547525,0.0371792496696264,0.115672980502584,0.104403362263341,0.0789642297206709
"9",1015,114282,2144,0.00573143627167883,0.0347036278679057,0.0139917047304037,0.00816401533049824,0.00091002957596121,655,3966,1599,933,103.999999999999,655,6601.99999999999,4621,2635.99999999999,1927,3186,3376,1737,-1272,3416,1245,898.999999999997,2020,-228199.567221511,-210130.231754161,-18069.3354673496,-315713.341549296,87513.7743277849,2020,0.69759723353936,0.712798490467825,0.0163630317985335,0.700119003867626,0.20590294184561,0.276027720900929,0.308893789048144,0.2144,-0.1272,0.3416,0.1245,0.0898999999999997,-0.457210103754289,-0.182414982709034,-0.276945123588736,-0.349852210379372,-0.0965297673170444
"10",1015,116585,-3117,0.00618432903032123,0.00581549942102329,0.0161513059141399,0.00664751040013724,0.00071192692027276,721.000000000001,678,1883,775,82.9999999999997,721.000000000001,3419,1399,2741,655,6601.99999999999,4621,2635.99999999999,66.0000000000006,-3182.99999999999,-3222,105.000000000005,2024,288802.218629962,87957.9148527529,200844.303777209,189873.408130602,98928.8104993598,2024,0.725730678085894,0.69759723353936,0.0359737530557104,0,0,0.298340266758159,0.233923746622636,-0.3117,0.00660000000000006,-0.318299999999999,-0.3222,0.0105000000000005,0.477227917503615,0.256262718493443,0.216316631309161,0.44724074353419,0.0209731433047276
