"","state_po","county_name","county_fips","dem_two_party_share_2000","dem_two_party_share_2004","dem_two_party_share_2008","dem_two_party_share_2012","dem_two_party_share_2016","dem_two_party_share_2020","dem_two_party_share_2024","gop_two_party_share_2000","gop_two_party_share_2004","gop_two_party_share_2008","gop_two_party_share_2012","gop_two_party_share_2016","gop_two_party_share_2020","gop_two_party_share_2024"
"1","AL","AUTAUGA",1001,0.291821671095365,0.238448431392202,0.259320735444331,0.26800606520091,0.246225319396051,0.274423027687356,0.266411202234717,0.708178328904635,0.761551568607798,0.740679264555669,0.73199393479909,0.753774680603949,0.725576972312644,0.733588797765283
"2","AL","BALDWIN",1003,0.255098507353879,0.227490156044918,0.240351116456104,0.21819043107532,0.202077927765188,0.22731728972827,0.206523539740914,0.744901492646121,0.772509843955082,0.759648883543896,0.78180956892468,0.797922072234812,0.77268271027173,0.793476460259086
"3","AL","BARBOUR",1005,0.504472967716842,0.450284223278352,0.492692207904523,0.51579131041703,0.471767554479419,0.461391071086415,0.425850061450225,0.495527032283158,0.549715776721648,0.507307792095477,0.48420868958297,0.528232445520581,0.538608928913585,0.574149938549775
"4","AL","BIBB",1007,0.388085350136045,0.276286205528369,0.268543394463264,0.264218862491001,0.217603344170924,0.208810850594049,0.176150582091176,0.611914649863955,0.723713794471631,0.731456605536736,0.735781137508999,0.782396655829076,0.791189149405951,0.823849417908824
"5","AL","BLOUNT",1009,0.282078893674904,0.184674545113487,0.147296223495462,0.125173852573018,0.0861882870277833,0.0965229790501261,0.0922305764411028,0.717921106325096,0.815325454886513,0.852703776504538,0.874826147426982,0.913811712972217,0.903477020949874,0.907769423558897
"6","AL","BULLOCK",1011,0.703189726594863,0.682397959183674,0.742502776749352,0.764495481927711,0.755888650963597,0.750435540069686,0.730411361410382,0.296810273405137,0.317602040816327,0.257497223250648,0.235504518072289,0.244111349036403,0.249564459930314,0.269588638589618
"7","AL","BUTLER",1013,0.466313203155308,0.406696854146807,0.432957717357593,0.462318993763873,0.431899849310305,0.420778945134246,0.385966995132376,0.533686796844692,0.593303145853194,0.567042282642407,0.537681006236127,0.568100150689695,0.579221054865754,0.614033004867624
"8","AL","CALHOUN",1015,0.414340851209074,0.335946722498162,0.335524423811676,0.338749481316473,0.287201509532175,0.30240276646064,0.274269321914106,0.585659148790926,0.664053277501838,0.664475576188324,0.661250518683527,0.712798490467825,0.69759723353936,0.725730678085894
"9","AL","CHAMBERS",1017,0.481935982150519,0.412290847405351,0.457352347638908,0.473960129682003,0.424451456666911,0.421021299113639,0.38289883819779,0.518064017849481,0.587709152594649,0.542647652361092,0.526039870317997,0.575548543333089,0.578978700886361,0.61710116180221
"10","AL","CHEROKEE",1019,0.457064436021435,0.339172152181189,0.240108288213244,0.221207719443868,0.147333333333333,0.133038420578357,0.120285028270467,0.542935563978565,0.660827847818811,0.759891711786756,0.778792280556132,0.852666666666667,0.866961579421643,0.879714971729533
"11","AL","CHILTON",1021,0.32315761161915,0.227494430059613,0.208347510491097,0.196029776674938,0.161794130724767,0.160402964818875,0.137526761137731,0.67684238838085,0.772505569940387,0.791652489508903,0.803970223325062,0.838205869275233,0.839597035181125,0.862473238862269
"12","AL","CHOCTAW",1023,0.507321746270699,0.45875,0.462654281715231,0.476946334089191,0.430907830907831,0.421258251380843,0.380024176488365,0.492678253729301,0.54125,0.537345718284769,0.523053665910809,0.569092169092169,0.578741748619157,0.619975823511635
"13","AL","CLARKE",1025,0.438642542420549,0.407413929734965,0.442002989536622,0.458852506519849,0.446039258282256,0.44001835002676,0.414312142616885,0.561357457579451,0.592586070265035,0.557997010463378,0.541147493480151,0.553960741717744,0.55998164997324,0.585687857383115
"14","AL","CLAY",1027,0.354788341429563,0.290471075648304,0.260972716488731,0.269487412799515,0.190836161678494,0.184478741991846,0.147614092463208,0.645211658570437,0.709528924351696,0.739027283511269,0.730512587200485,0.809163838321506,0.815521258008154,0.852385907536792
"15","AL","CLEBURNE",1029,0.332999799879928,0.24145113695539,0.182957393483709,0.155534198302098,0.106079404466501,0.0942869115798296,0.0796786513894376,0.667000200120072,0.75854886304461,0.817042606516291,0.844465801697902,0.893920595533499,0.90571308842017,0.920321348610562
"16","AL","COFFEE",1031,0.344372608523552,0.256014629407395,0.253975397539754,0.251390944821602,0.210041799363057,0.23098976109215,0.20822773352643,0.655627391476448,0.743985370592605,0.746024602460246,0.748609055178398,0.789958200636943,0.76901023890785,0.79177226647357
"17","AL","COLBERT",1033,0.500593514078154,0.445556209535021,0.396980607151624,0.3967621850922,0.303932163937152,0.302875190590285,0.265800156418755,0.499406485921846,0.554443790464979,0.603019392848376,0.6032378149078,0.696067836062848,0.697124809409715,0.734199843581245
"18","AL","CONECUH",1035,0.507661437431594,0.453923205342237,0.497028554863024,0.508292822419216,0.473846153846154,0.462858926342072,0.429785107446277,0.492338562568406,0.546076794657763,0.502971445136976,0.491707177580784,0.526153846153846,0.537141073657928,0.570214892553723
"19","AL","COOSA",1037,0.469014712438698,0.414314516129032,0.411700778844412,0.418129770992366,0.345148169668797,0.330937903077207,0.282276546982429,0.530985287561302,0.585685483870968,0.588299221155588,0.581870229007634,0.654851830331203,0.669062096922793,0.717723453017571
"20","AL","COVINGTON",1039,0.331318558316544,0.235387154449182,0.206579954093344,0.206256939455294,0.152484987862527,0.157219622118218,0.136189747513389,0.668681441683456,0.764612845550818,0.793420045906656,0.793743060544706,0.847515012137473,0.842780377881782,0.863810252486611
"21","AL","CRENSHAW",1041,0.409138988787815,0.31013698630137,0.309733098929199,0.321266259207021,0.269386433543791,0.258988421694089,0.22564658510144,0.590861011212185,0.68986301369863,0.690266901070801,0.678733740792979,0.730613566456209,0.741011578305911,0.77435341489856
"22","AL","CULLMAN",1043,0.337471900397717,0.230760405013912,0.168699654775604,0.148365686763972,0.103242993448773,0.108274094491997,0.0944950050300634,0.662528099602283,0.769239594986088,0.831300345224396,0.851634313236028,0.896757006551227,0.891725905508003,0.905504994969937
"23","AL","DALE",1045,0.316536550745209,0.247666390499862,0.27510962622677,0.287376318364684,0.24219307392569,0.265495814717814,0.236497890295359,0.683463449254791,0.752333609500138,0.72489037377323,0.712623681635316,0.75780692607431,0.734504185282186,0.763502109704641
"24","AL","DALLAS",1047,0.598406722322257,0.603727714748784,0.672921478060046,0.699138755980861,0.689181208053691,0.68885884871015,0.663555036950603,0.401593277677743,0.396272285251216,0.327078521939954,0.300861244019139,0.310818791946309,0.31114115128985,0.336444963049397
"25","AL","DEKALB",1049,0.354876024744757,0.295549258209702,0.239593478721152,0.222274077216801,0.144723698405722,0.147376755714679,0.127862270763159,0.645123975255243,0.704450741790298,0.760406521278848,0.777725922783199,0.855276301594278,0.852623244285321,0.872137729236841
"26","AL","ELMORE",1051,0.283921635579837,0.226837732674309,0.243588238746405,0.254324424120203,0.234027219558167,0.255779526781969,0.23753280839895,0.716078364420163,0.773162267325691,0.756411761253595,0.745675575879797,0.765972780441833,0.744220473218031,0.76246719160105
"27","AL","ESCAMBIA",1053,0.393372760480084,0.309402125415754,0.356245279132047,0.371480779642664,0.316712517193948,0.31152213846836,0.266971982758621,0.606627239519916,0.690597874584246,0.643754720867953,0.628519220357336,0.683287482806052,0.68847786153164,0.733028017241379
"28","AL","ETOWAH",1055,0.452570093457944,0.362132917523094,0.306109951918715,0.305320392053991,0.244000467344316,0.245609937360654,0.219505253940455,0.547429906542056,0.637867082476906,0.693890048081285,0.694679607946009,0.755999532655684,0.754390062639346,0.780494746059545
"29","AL","FAYETTE",1057,0.400732409102799,0.303198186854697,0.253142059159579,0.230847414559776,0.168689621005697,0.160437032777458,0.137590361445783,0.599267590897201,0.696801813145303,0.746857940840421,0.769152585440224,0.831310378994303,0.839562967222542,0.862409638554217
"30","AL","FRANKLIN",1059,0.439241202346041,0.369878728285808,0.301206911522098,0.295306388526728,0.188373488810769,0.167388862140908,0.130830204422194,0.560758797653959,0.630121271714192,0.698793088477902,0.704693611473272,0.811626511189231,0.832611137859092,0.869169795577806
"31","AL","GENEVA",1061,0.295928182109651,0.202104256336681,0.18474590944507,0.181826288567862,0.132389964406633,0.128184521417665,0.112905844155844,0.70407181789035,0.797895743663319,0.81525409055493,0.818173711432138,0.867610035593367,0.871815478582335,0.887094155844156
"32","AL","GREENE",1063,0.804777216352779,0.79711986446421,0.834216502649508,0.849014084507042,0.827252112966399,0.816137844084892,0.779741164758586,0.195222783647221,0.20288013553579,0.165783497350492,0.150985915492958,0.172747887033601,0.183862155915108,0.220258835241414
"33","AL","HALE",1065,0.609219486642221,0.585313447927199,0.608897580053777,0.627653404477439,0.600780070457977,0.593634627625716,0.534475611441205,0.390780513357779,0.414686552072801,0.391102419946223,0.372346595522561,0.399219929542023,0.406365372374284,0.465524388558795
"34","AL","HENRY",1067,0.406963136337039,0.334378835401609,0.35080785772405,0.353920330616462,0.289247854618879,0.282861174427439,0.244595763078253,0.593036863662961,0.665621164598391,0.64919214227595,0.646079669383538,0.710752145381121,0.71713882557256,0.755404236921747
"35","AL","HOUSTON",1069,0.298206704264622,0.253873063468266,0.294727452445816,0.297019477868242,0.257634325473521,0.283671900735698,0.259053878277538,0.701793295735378,0.746126936531734,0.705272547554184,0.702980522131758,0.742365674526479,0.716328099264302,0.740946121722462
"36","AL","JACKSON",1071,0.516846245938088,0.428132282215281,0.311580388131202,0.287350081437244,0.180535758171541,0.158934450763245,0.140305794680714,0.483153754061912,0.571867717784719,0.688419611868798,0.712649918562756,0.819464241828459,0.841065549236755,0.859694205319286
"37","AL","JEFFERSON",1073,0.483974215664356,0.454644185231264,0.525629504939217,0.530164909685998,0.537897620704908,0.566834409152313,0.552839872457244,0.516025784335644,0.545355814768736,0.474370495060783,0.469835090314002,0.462102379295092,0.433165590847687,0.447160127542756
"38","AL","LAMAR",1075,0.372455426084515,0.285547445255474,0.229489549267738,0.231733070533577,0.151042426009622,0.136744966442953,0.117853487351952,0.627544573915485,0.714452554744526,0.770510450732262,0.768266929466423,0.848957573990378,0.863255033557047,0.882146512648048
"39","AL","LAUDERDALE",1077,0.442541383599656,0.397618853461633,0.356418964088028,0.343501180605129,0.262925682280521,0.273054358786323,0.239949807129247,0.557458616400344,0.602381146538367,0.643581035911972,0.656498819394871,0.737074317719479,0.726945641213677,0.760050192870753
